,Accuracy,Precision,Recall,F1-Score,ROC AUC,MCC,Balanced Accuracy,Kappa,Sensibility,Specificity
Random Forest,0.9510268562401264,0.9319526627218935,0.9752321981424149,0.9531013615733738,0.986332767402377,0.9029343400385023,0.9505193248776591,0.9019168770149701,0.9752321981424149,0.9258064516129032
AdaBoost,0.8688783570300158,0.8703703703703703,0.8730650154798761,0.8717156105100463,0.940107859782283,0.7376327135672923,0.8687905722560672,0.7376290281502345,0.8730650154798761,0.864516129032258
Gradient Boosting,0.8925750394944708,0.8923076923076924,0.8978328173374613,0.8950617283950617,0.9535803455507839,0.7850472045364193,0.8924647957655049,0.7850315131296384,0.8978328173374613,0.8870967741935484
Decision Tree,0.9352290679304898,0.9005681818181818,0.9814241486068112,0.9392592592592592,0.935673624288425,0.8738520341461812,0.9342604614001797,0.8701590430401784,0.9814241486068112,0.8870967741935484
SVM,0.9352290679304898,0.9272727272727272,0.9473684210526315,0.9372128637059725,0.9796364725856386,0.8705578784317519,0.934974533106961,0.8703445588477736,0.9473684210526315,0.9225806451612903
KNN,0.9052132701421801,0.8642659279778393,0.9659442724458205,0.912280701754386,0.9608808548886447,0.815813299410727,0.903939878158394,0.8098775567413874,0.9659442724458205,0.8419354838709677
MLP,0.943127962085308,0.9183673469387755,0.9752321981424149,0.9459459459459459,0.9841905522820332,0.8878405250429448,0.9424548087486269,0.88606,0.9752321981424149,0.9096774193548387
XGBoost,0.9478672985781991,0.9215116279069767,0.9814241486068112,0.9505247376311845,0.9836612403874962,0.8975331327274212,0.9471636872066314,0.8955482106336912,0.9814241486068112,0.9129032258064517
Naive Bayes,0.8894154818325435,0.8373333333333334,0.9721362229102167,0.8997134670487106,0.8876810146809149,0.7887895536411988,0.8876810146809149,0.7779882154882155,0.9721362229102167,0.8032258064516129
Logistic Regression,0.9352290679304898,0.9028571428571428,0.978328173374613,0.939078751857355,0.976620393488465,0.8733736181391692,0.9343253770098872,0.870175930048172,0.978328173374613,0.8903225806451613
Bagging,0.933649289099526,0.9048991354466859,0.9721362229102167,0.9373134328358209,0.9679616498551883,0.8695489818135601,0.9328423050034955,0.867035429211595,0.9721362229102167,0.8935483870967742
